source_id,candidate_seed_key,source_name,source_url,source_kind,retrieved_at,use_basis,facts_supported
src-hra-2024-report,hrva-hampton-roads-alliance,Hampton Roads Alliance 2024 Annual Report,https://hamptonroadsalliance.com/wp-content/uploads/2025/02/2024-Annual-Report-Hampton-Roads-Alliance.pdf,official_organization_publication,2026-08-22,public_factual_reference,organization identity; regional economic-development role; Norfolk office address
src-hrchamber-directory,hrva-hampton-roads-chamber,Hampton Roads Chamber member-directory record,https://business.hrchamber.com/member-directory/Details/hampton-roads-chamber-3589566,official_organization_directory,2026-08-22,public_factual_reference,organization identity; address; phone; stated service area
src-hrsbdc-contact,hrva-hampton-roads-sbdc,Hampton Roads SBDC Contact Us,https://hrsbdc.com/contact-us/,official_organization_webpage,2026-08-22,public_factual_reference,identity; contact locations; hours; email
src-hrsbdc-capital,hrva-hampton-roads-sbdc,Hampton Roads SBDC Access to Capital,https://hrsbdc.com/access-to-capital/,official_organization_webpage,2026-08-22,public_factual_reference,access-to-capital resource
src-hrsbdc-govcon,hrva-hampton-roads-sbdc,Hampton Roads SBDC Government Contracting,https://hrsbdc.com/government-contracting/,official_organization_webpage,2026-08-22,public_factual_reference,government-contracting resource
src-hrwc-contact,hrva-hampton-roads-workforce-council,Hampton Roads Workforce Council Contact Us,https://www.theworkforcecouncil.org/contact-us/,official_organization_webpage,2026-08-22,public_factual_reference,identity; Norfolk office address; business/employer inquiry channel
src-odu-iie,hrva-odu-iie,ODU Institute for Innovation & Entrepreneurship,https://www.odu.edu/iie,official_university_webpage,2026-08-22,public_factual_reference,identity; address; business counseling and economic-development role
src-odu-iie-about,hrva-odu-iie,ODU IIE About,https://www.odu.edu/iie/about,official_university_webpage,2026-08-22,public_factual_reference,programs and entrepreneurship-support scope
src-757collab-privacy,hrva-757-collab,757 Collab Privacy Policy,https://757collab.org/privacy-policy/,official_organization_legal_page,2026-08-22,public_factual_reference,DBA/legal-name hint; Norfolk address; contact email
src-retail-alliance-home,hrva-retail-alliance,Retail Alliance,https://retailalliance.com/,official_organization_webpage,2026-08-22,public_factual_reference,identity; Hampton Roads business-association role; contact details
