seed_key,display_name,provider_class_candidate,participation_policy_candidate,provider_type_candidate,resource_category_candidate,service_name,service_summary,primary_source_id,entity_shape_candidate,canonical_parent_candidate,classification_review_required,canonicalization_review_required,intended_claim_state,ingestion_status,website,aliases,service_area_labels,sourced_programs,review_notes
hrva-hampton-roads-alliance,Hampton Roads Alliance,community_institutional,free_standard,regional-development-organization,economic_business_development,Regional economic development support,"Regional economic-development, business-attraction, and site-selection support for Hampton Roads.",src-hra-2024-report,organization,,false,false,unclaimed,ready_for_staging,https://hamptonroadsalliance.com/,,"Hampton Roads, Virginia",,Retain as a standalone canonical organization unless entity resolution finds an existing match.
hrva-hampton-roads-chamber,Hampton Roads Chamber,community_institutional,free_standard,chamber-of-commerce,business_associations_networks,Business chamber and member network,"Business networking, advocacy, and education serving businesses across the Chamber's Hampton Roads service area.",src-hrchamber-directory,organization,,false,false,unclaimed,ready_for_staging,https://hrchamber.com/,Hampton Roads Chamber of Commerce,Chesapeake | Norfolk | Portsmouth | Suffolk | Virginia Beach,,
hrva-hampton-roads-sbdc,Hampton Roads Small Business Development Center,community_institutional,free_standard,sbdc,entrepreneurship_startup_support,Small-business counseling and assistance,Small-business counseling and assistance including access to capital and government-contracting support.,src-hrsbdc-contact,operating_unit,Hampton Roads Chamber,false,true,unclaimed,ready_for_staging,https://hrsbdc.com/,Hampton Roads SBDC | HRSBDC,"Hampton Roads, Virginia",Business Foundations | Access to Capital | Government Contracting assistance,Resolve whether HRSBDC is modeled as an operating unit under Hampton Roads Chamber or as its own canonical organization. Secondary-office labels/addresses require review before live display.
hrva-hampton-roads-workforce-council,Hampton Roads Workforce Council,community_institutional,free_standard,workforce-board,workforce_talent,Workforce and employer services,"Workforce-development and employer services supporting recruitment, training, and talent needs in Hampton Roads.",src-hrwc-contact,organization,,false,false,unclaimed,ready_for_staging,https://www.theworkforcecouncil.org/,HRWC,"Hampton Roads, Virginia",Virginia Career Works Hampton Roads | Business and Employer Services,Use the Council as the canonical provider; Virginia Career Works centers can remain locations/programs unless entity resolution establishes distinct organizations.
hrva-odu-iie,Old Dominion University Institute for Innovation & Entrepreneurship,community_institutional,free_standard,public-university,entrepreneurship_startup_support,Entrepreneurship and innovation support,"Business counseling, entrepreneurship, innovation, and commercialization support through Old Dominion University.",src-odu-iie,operating_unit,Old Dominion University,false,true,unclaimed,ready_for_staging,https://www.odu.edu/iie,ODU IIE | Institute for Innovation & Entrepreneurship,"Hampton Roads, Virginia | Virginia",Business Development Center | TempO | Veterans Business Outreach Center | Women's Business Center | OpenSeas | Double TAP,Model as an ODU operating unit unless canonical identity rules require a separate organization. Program names should not become separate Organizations by default.
hrva-757-collab,757 Collab,community_institutional,free_standard,nonprofit-incubator,entrepreneurship_startup_support,Startup support and founder programs,"Startup support, founder programming, mentorship, and entrepreneurship resources for southeastern Virginia.",src-757collab-privacy,organization,,false,true,unclaimed,ready_for_staging,https://757collab.org/,757 Accelerate | 757 Startup Studios,"Hampton Roads, Virginia",,Official legal text identifies 757 Accelerate DBA 757 Collab; resolve current legal organization/canonical name before promotion.
hrva-retail-alliance,Retail Alliance,community_institutional,free_standard,nonprofit-business-association,business_associations_networks,Retail business association and support,"Business education, networking, advocacy, and retail-support resources for the Hampton Roads business community.",src-retail-alliance-home,organization,,false,false,unclaimed,ready_for_staging,https://retailalliance.com/,,"Hampton Roads, Virginia",,
hrva-virginia-maritime-association,Virginia Maritime Association,community_institutional,free_standard,nonprofit-business-association,specialized_industry_resources,Maritime industry business network,Maritime-industry association and member network supporting Virginia's port and maritime business community.,src-vma-contact,organization,,false,false,unclaimed,ready_for_staging,https://vamaritime.com/,VMA,"Hampton Roads, Virginia | Virginia",,Statewide association with a Norfolk office; included because of direct Hampton Roads maritime relevance.
hrva-greater-williamsburg-chamber,Greater Williamsburg Chamber of Commerce,community_institutional,free_standard,chamber-of-commerce,business_associations_networks,Business chamber and member network,"Business networking, advocacy, and education for the Greater Williamsburg business community.",src-williamsburg-chamber-contact,organization,,false,false,unclaimed,ready_for_staging,https://www.williamsburgchamber.com/,Greater Williamsburg Chamber,"Greater Williamsburg, Virginia",,
hrva-virginia-peninsula-chamber,Virginia Peninsula Chamber,community_institutional,free_standard,chamber-of-commerce,business_associations_networks,Business chamber and member network,"Business networking, advocacy, and education serving the Virginia Peninsula business community.",src-peninsula-chamber-contact,organization,,false,false,unclaimed,ready_for_staging,https://www.virginiapeninsulachamber.com/,,Hampton | Newport News | Poquoson | James City County | York County,,
hrva-launchpad-incubator,Launchpad Greater Williamsburg Business Incubator,community_institutional,free_standard,nonprofit-incubator,entrepreneurship_startup_support,Business incubation and startup support,Business-incubation and entrepreneurship support provided through the Greater Williamsburg Launchpad initiative.,src-launchpad-jcc,program,,false,true,unclaimed,ready_for_staging,https://www.jamescitycountyva.gov/2976/Launchpad-Incubator,Launchpad Incubator,James City County | City of Williamsburg | York County,,"Joint initiative of James City County, City of Williamsburg, York County, and William & Mary; do not assign a single parent without review."
hrva-bloom-coworking,Bloom Coworking,community_institutional,free_standard,public-coworking,workspace_business_facilities,Coworking and meeting space,"Community-oriented coworking, shared workspace, and meeting-space resources in Portsmouth.",src-bloom-about,program_or_dba,"Portsmouth Partnership, Inc.",false,true,unclaimed,ready_for_staging,https://bloomcoworking.org/,,"Portsmouth | Hampton Roads, Virginia",,"Official materials identify Portsmouth Partnership, Inc. dba Bloom Coworking; resolve parent/DBA canonicalization before promotion."
hrva-hampton-reaktor,Hampton REaKTOR Technology Innovation Center,community_institutional,free_standard,nonprofit-incubator,innovation_technology_research,Technology incubation and innovation support,Business-incubation and technology-innovation support provided through the City of Hampton.,src-hampton-incubators,program,City of Hampton,false,true,unclaimed,ready_for_staging,https://www.hampton.gov/2362/Business-Incubators,REaKTOR,"Hampton | Hampton Roads, Virginia",,Exact current street address is unresolved; keep off-map until an authoritative location is established.
